reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIZXNOZD67t,Ugw8ugyhrWlzZgky9rF4AaABAg,UC6twO-wx2z8KfyNIGoWUvkg,2025-05-25T22:57:15Z,2025-05-25T22:57:15Z,12,as madridista i never forget that too😏,m3cofWQwYUU,0.1695
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIZY-OomJhi,Ugw8ugyhrWlzZgky9rF4AaABAg,UCS6MA2ljLOi5p-E06DIIx8A,2025-05-25T23:02:42Z,2025-05-25T23:02:42Z,1,corner wasnt taken quickly jk,m3cofWQwYUU,-0.1695
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIZqGfq0uH0,Ugw8ugyhrWlzZgky9rF4AaABAg,UCs4pwdGRA_L70P1ibR6UrcA,2025-05-26T01:51:05Z,2025-05-26T01:51:05Z,0,​@terryfckwi i will follow him like i followed my other idols anywhere they play,m3cofWQwYUU,0.5994
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AI_AggqaiCj,Ugw8ugyhrWlzZgky9rF4AaABAg,UCizgqryH8STLTVGNb_Kh3xA,2025-05-26T04:58:17Z,2025-05-26T04:58:17Z,0,Vs Barca.🤠🤠🤠🤠🤩🤩🤩,m3cofWQwYUU,0.0
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AI_HAGxDNf5,Ugw8ugyhrWlzZgky9rF4AaABAg,UCUUFPHo-GD1yWMW0Z3rClXg,2025-05-26T05:54:53Z,2025-05-26T05:54:53Z,1,"​@seenakudel perez is monopolizing the beautiful game, classic madrid",m3cofWQwYUU,0.5267
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AI_sgCbs7UZ,Ugw8ugyhrWlzZgky9rF4AaABAg,UCF-VeoeBSfoN4E0xhRlhyJg,2025-05-26T11:31:26Z,2025-05-26T11:31:26Z,5,@terryfckwi not all Liverpool fans are haters some are true fans who love the player no matter whag,m3cofWQwYUU,0.5756
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIazvUh7tU7,Ugw8ugyhrWlzZgky9rF4AaABAg,UCLGKFq9ken386ppmAIdulPA,2025-05-26T21:53:56Z,2025-05-26T21:53:56Z,1,@terryfckwi Liverpool fans didn`t boo him but sang the Gerrard song instead which was aimed at Trents disloyalty. Good on them.,m3cofWQwYUU,0.5927
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIcKMHCnxf_,Ugw8ugyhrWlzZgky9rF4AaABAg,UClefDt6E8PkobiYNUWFHU0g,2025-05-27T10:20:28Z,2025-05-27T10:20:28Z,0,Hope he don’t do the same to Liverpool in Real Madrid jersey. 😂,m3cofWQwYUU,0.7003
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIdoH_25X6V,Ugw8ugyhrWlzZgky9rF4AaABAg,UCjCzjmC2JZtf6c1N_7046dg,2025-05-28T00:09:56Z,2025-05-28T00:09:56Z,0,​@terryfckwi never did u nugget,m3cofWQwYUU,0.0
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIfDZu5qqSi,Ugw8ugyhrWlzZgky9rF4AaABAg,UCpY5PwWEG7RU30USlAUvtoQ,2025-05-28T13:18:52Z,2025-05-28T13:18:52Z,0,"@elizajohn5 stop lying, even klopp himself said that was booing which he have to turn off the TV bcs its disappointing him.",m3cofWQwYUU,-0.8316
