video_id,comment_id,author_channel_id,published_at,updated_at,like_count,reply_count,text,sent_compound
cZuKoVpIc9E,UgxlEiAzuRiGoUjZuSF4AaABAg,UCEF8Q6CM_bd95s79tQObKCA,2025-11-09T19:43:54Z,2025-11-09T19:43:54Z,208,41,"Obviously lfc outplayed by city, but am I the only surprised van dijks header was ruled offsides? Robertson not in the “line of sight” that the commentator was talking about, and imo does a good job getting out of the way not attempting to play the ball… am I just wrong about how much it takes to be considering impeding the goalie?",-0.2177
cZuKoVpIc9E,UgzrWiElgs-Wxdb8XfJ4AaABAg,UC2ph-uYM2d3CwG2e6dyv8oA,2025-11-16T14:47:31Z,2025-11-16T14:47:31Z,1,0,Liverpool say bye bye to first place this season !,0.0
cZuKoVpIc9E,Ugy2NoQ9SpSvDj7smdZ4AaABAg,UCqo55t_n6jGpCuJBYIs6YzA,2025-11-09T19:38:37Z,2025-11-09T19:38:37Z,9,0,Doku is literally Goku Black.,0.0
cZuKoVpIc9E,UgzNws4MzMCZGJEikO94AaABAg,UCfZB5e9ih1LTG8djA1AuEWw,2025-11-10T05:14:19Z,2025-11-10T05:14:31Z,0,0,"Doku's finesse and explosive power remind me so much of Aguero's play style. 
City is Forever Blue.",0.34
cZuKoVpIc9E,Ugzx8CeV-Sz7h7r59D54AaABAg,UCgWbu7v-IDFj_nw48fOmr1Q,2025-11-09T20:54:06Z,2025-11-09T20:54:06Z,3,1,"If your a gambler please don't bet on thr premium league, it's not only the best but  very competitive",0.2395
cZuKoVpIc9E,UgxaD1mqlgyGYiKhBPN4AaABAg,UCVRuMfZxtP5H6fI1FU9g0tg,2025-11-10T19:39:10Z,2025-11-10T19:39:10Z,0,0,I wish Madrid had shown up with this level of intensity at Anfield 😭,-0.1027
cZuKoVpIc9E,UgyUiDLQbQpSX1MCRiN4AaABAg,UC4athgHnphtC9YE1SOQmeWg,2025-11-09T20:37:42Z,2025-11-09T20:37:42Z,198,20,Calling Virgil’s goal back is a crime.,-0.5423
cZuKoVpIc9E,UgwDxv8szP7nav249KN4AaABAg,UCiRewWGW-hQTjJs2xeSmPrg,2025-11-10T03:39:37Z,2025-11-10T03:39:37Z,0,0,i remember when people hated Doku and i’ve always rooted for him,-0.6369
cZuKoVpIc9E,Ugwnv5IfVWN1L6dNkh14AaABAg,UC_am1UtbaakO_iThbMX5u1A,2025-11-09T19:37:08Z,2025-11-09T19:37:08Z,14,7,"Fantastic performance by every City players especially Doku, Nico Gonzalez and  O’Reilly",0.5574
cZuKoVpIc9E,UgyGX9fSFlQLXmbVclF4AaABAg,UCh8Hm82DHhd1ZjUKK16Trog,2025-11-09T22:16:33Z,2025-11-09T22:16:33Z,2,0,doku is reaching a new level man,0.2023
cZuKoVpIc9E,UgzPyqIJh9hvzz6gAkN4AaABAg,UC0sIIiHatQ7Lml_xjAr4f2w,2025-11-09T20:54:26Z,2025-11-09T20:54:26Z,7,0,Moment of silence for all the Liverpool fans saying Pep was finished 3 months ago,0.0
cZuKoVpIc9E,UgwLfZW51DicdWNf56R4AaABAg,UCwkcL07SP5YvCL-qaVZLzhw,2025-11-10T00:36:28Z,2025-11-10T00:36:28Z,0,0,Doku is on another level currently,0.0
cZuKoVpIc9E,UgykEi0Y5DGwJqfneAF4AaABAg,UCy7cMWhW5lkjB8DpMdiU9fw,2025-11-09T19:42:19Z,2025-11-09T19:42:19Z,3,2,"Doku dove, didn't get the yellow, and then had the penalty saved lmao",0.5719
cZuKoVpIc9E,Ugz6TsD9XeRchDdYQth4AaABAg,UCNkeP94HZL-kx5DAYkTQbAQ,2025-11-11T12:15:19Z,2025-11-11T12:15:19Z,0,0,"If it was not a foul challenge by the keeper, it certainly was a handball straight after.",0.4728
cZuKoVpIc9E,UgyoXdUwWcOBRmSuc9h4AaABAg,UC2Sjt-_xQ8q4OYoNI0R10yw,2025-11-09T21:51:52Z,2025-11-09T21:51:52Z,12,5,"People don't realize having Bernardo as CM and not a Winger literally brought stability to the midfield. City's winning streak started when Bernardo became a CM. 

As a winger he slows the game down passing back and cannot cross. As a CM we need somebody who can slow the game down and not lose the ball. Bernardo extended his playing career with that switch. 

Now time for Salah to become a CF",0.7549
cZuKoVpIc9E,Ugx58HxtSSIskYfTd1l4AaABAg,UC_0-Jj5YdZUzN14dXZk2UoQ,2025-11-09T23:53:37Z,2025-11-09T23:54:08Z,0,0,"As a LFC and football fan, I gotta respect Doku's performance today. Fun to watch.",0.8271
cZuKoVpIc9E,UgzXT5-BoVRHIxTWNA14AaABAg,UCzdySi2sJMU63Gtk26S1u0w,2025-11-09T19:54:41Z,2025-11-09T19:54:41Z,7,1,at what point are the pl/pgmol going to realize that michael oliver officiating man city and liverpool games is a poor choice?,-0.4767
cZuKoVpIc9E,UgyB9rP2OptmZT8Ez8F4AaABAg,UCu2XxwzPK_oYRkF5fFT9IWQ,2025-11-16T01:08:25Z,2025-11-16T01:08:25Z,1,0,I remember Man Utd losing 3-0 to City and the entire world sang 'sack Amorim'. Now City are just good. 😆,0.4215
cZuKoVpIc9E,UgxqXnWeVZzfcawZAZR4AaABAg,UCtSwAliSPbhebSw8OIeCK5g,2025-11-09T19:49:06Z,2025-11-09T19:49:06Z,18,4,"There's something beautiful about when a team goes out and wins the league, gets incredibly greedy, completely changes their team in the name of progress, and then just fumbles it all away. Real Madrid did that last season and now Liverpool did it. Greed ruins it all.",0.4951
cZuKoVpIc9E,Ugxf0Kq_5Alc-yjYN8x4AaABAg,UCSn-5VbYZdKp6jF1Dcq23ww,2025-11-09T23:19:52Z,2025-11-09T23:19:52Z,0,0,Doku está espectacular,0.0
cZuKoVpIc9E,UgxzGVopZAZMxwqvzlR4AaABAg,UCLMVLpS0881Vu6nEDDnvrfg,2025-11-09T20:07:43Z,2025-11-09T20:07:43Z,28,4,That offside call was ridiculous,-0.3612
